Data Source;Time;Value,
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Gap|Hi;""2026-10-20 11:44:48","031631"";-8.69683971426753"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Amp|Lo;""2026-10-20 11:44:48","031631"";7.32140922546387"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Amp|Based Value;""2026-10-20 11:44:48","031631"";30.3798789978027"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Amp|Hi;""2026-10-20 11:44:48","031631"";53.4383487701416"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Phase|Based Value;""2026-10-20 11:44:48","031631"";Calc Failed"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Gap|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Gap|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.1934230934156"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Gap|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1319.34230934156"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Amp|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Amp|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";75.9004661407855"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Amp|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";7590.04661407855"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|1X Phase|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Direct|Lo;""2026-10-20 11:44:48","031631"";27.1212749481201"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Direct|Based Value;""2026-10-20 11:44:48","031631"";52.7922744750977"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Direct|Hi;""2026-10-20 11:44:48","031631"";78.4632740020752"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Direct|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Direct|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";48.6264321479209"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Direct|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";4862.64321479209"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Gap|Lo;""2026-10-20 11:44:48","031631"";-11.8990619812751"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Gap|Based Value;""2026-10-20 11:44:48","031631"";-10.1909275054932"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Gap|Hi;""2026-10-20 11:44:48","031631"";-8.48279302971126"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|1X Amp|Lo;""2026-10-20 11:44:48","031631"";13.2987289428711"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|1X Amp|Based Value;""2026-10-20 11:44:48","031631"";47.855152130127"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|1X Amp|Hi;""2026-10-20 11:44:48","031631"";82.4115753173828"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|1X Phase|Based Value;""2026-10-20 11:44:48","031631"";Calc Failed"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Gap|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Gap|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";16.761324961454"
